VISIT_AREA_NM,X_COORD,Y_COORD,SIDO
AK 기흥점,127.11680289043568,37.27470975958471,경기
ALT.1 더 현대 서울 현대백화점,126.9284461241116,37.525872071029134,서울
가납리 비행장,127.020285015859,37.779680819579,경기
가로수길,127.022764118441,37.5196385944893,서울
계곡,127.36375565272148,37.74945605823188,경기
더 서울 라이티 움,127.04247979310723,37.54578380383026,서울
리스펙트 페스티벌 (올림픽공원 88잔디마당),127.120812783275,37.5205340628851,서울
메이필드호텔 서울 수영장,126.81909670492055,37.54713771707638,서울
워터하우스,127.48021742464954,37.625492761922985,경기
제부도 해수욕장,126.617019274836,37.1677247640579,경기
크리스 월드 수상 레저,127.54169307368858,37.76039492885237,경기
파주 신세계 프리미엄 아울렛,126.6963344538122,37.76947080757615,경기
21아울렛 구로점,126.8626993,37.4980135,서울
63스퀘어,126.9402616,37.5198149,서울
AK& 기흥,127.1167124,37.2745152,경기
AK플라자 광명,126.8828338,37.4186632,경기
AK플라자 금정,126.9441887,37.3727578,경기
AK플라자 분당,127.1231812,37.3852355,경기
AK플라자 수원,127.00069,37.2655524,경기
AK플라자 홍대,126.9264078,37.5578085,서울
AW 컨벤션,126.8287898,37.3081288,경기
Apple 가로수길,127.0227294,37.5208198,서울
CGV 소풍,126.7571136,37.5047335,경기
CGV 피카디리 1958,126.9913133,37.5709938,서울
COS 퀼티드 백 팝업스토어,126.9892379,37.573975,서울
G 타워,126.6342685,37.3960581,인천
G 타워 전망대,126.6342006,37.3960859,인천
IFC 몰,126.9259558,37.5250668,서울
KSPO DOME 올림픽 체조경기장,127.1274078,37.5192441,서울
KSPO 돔,127.1273999,37.5192612,서울
KTG 상상마당 홍대,126.9210685,37.5510089,서울
LCDC 서울,127.061546,37.5417353,서울
NC 큐브 커넬워크 가을도,126.6380421,37.4004163,인천
NC백화점 고잔점,126.8310157,37.313531,경기
Ofr 서울,126.9717992,37.5801214,서울
PPO,127.0697861,37.0340948,경기
SBA 서울 애니메이션 센터,126.9833422,37.5599071,서울
SETEC,127.072197,37.4959007,서울
T 팩토리,126.9223949,37.5553454,서울
가드너스,126.6961725,37.7896429,경기
가평 레일파크,127.5158437,37.8289706,경기
가평 뮤직 빌리지 음악 역 1939,127.5132455,37.8244772,경기
가평군 농협 하나로마트 본점,127.5141732,37.8301708,경기
가평군 농협 하나로마트 북면점,127.5488846,37.8838616,경기
가평군 농협 하나로마트 청평점,127.4151943,37.7351031,경기
강남 터미널 경부선 지하상가,127.0055961,37.5050984,서울
강남역 지하상가,127.0278418,37.4977359,서울
강변 테크노마트,127.0956855,37.5357209,서울
